epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,466.18,1.11569,0.88654,1.09111,0.98461,0.98918,0.99263,0.7086,0.99011,0.52861,1.02318,0.00150718,0.000502394,0.00150718,0.000502394,0.00150718,0.000502394,0.00150718,0.000502394
85,471.666,1.09488,0.88274,1.09793,0.98413,0.98921,0.99332,0.70667,0.99061,0.52642,1.02282,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
86,477.146,1.10824,0.88058,1.10325,0.97677,0.99216,0.99341,0.70946,0.97509,0.53229,1.02321,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729
87,482.623,1.09964,0.86869,1.08156,0.98159,0.98765,0.99152,0.70987,0.97166,0.54093,1.02081,0.00144119,0.000480396,0.00144119,0.000480396,0.00144119,0.000480396,0.00144119,0.000480396
88,488.181,1.08694,0.8392,1.07557,0.97989,0.98927,0.9908,0.70526,0.98486,0.54345,1.02155,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
89,493.644,1.11095,0.8595,1.09014,0.98075,0.98875,0.99124,0.70857,0.97987,0.5376,1.0191,0.00139719,0.000465731,0.00139719,0.000465731,0.00139719,0.000465731,0.00139719,0.000465731
90,499.112,1.09202,0.85224,1.06861,0.97916,0.98922,0.99087,0.71518,0.97799,0.53027,1.01592,0.0013752,0.000458399,0.0013752,0.000458399,0.0013752,0.000458399,0.0013752,0.000458399
91,504.587,1.08624,0.84996,1.07501,0.98116,0.98701,0.9912,0.71926,0.97371,0.52678,1.0169,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
92,510.067,1.11199,0.86778,1.09153,0.97965,0.98691,0.99193,0.71491,0.9805,0.52795,1.01682,0.0013312,0.000443733,0.0013312,0.000443733,0.0013312,0.000443733,0.0013312,0.000443733
93,515.561,1.10689,0.85432,1.07933,0.97409,0.9949,0.99252,0.71842,0.97827,0.52476,1.01833,0.0013092,0.000436401,0.0013092,0.000436401,0.0013092,0.000436401,0.0013092,0.000436401
94,521.057,1.09488,0.85669,1.07965,0.97726,0.99545,0.99264,0.7161,0.97942,0.51565,1.02145,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
95,526.507,1.11612,0.86363,1.08682,0.9819,0.9913,0.99271,0.71659,0.97357,0.51529,1.01864,0.00126521,0.000421736,0.00126521,0.000421736,0.00126521,0.000421736,0.00126521,0.000421736
96,531.997,1.09918,0.86941,1.09611,0.97438,0.99486,0.99082,0.71446,0.97808,0.52734,1.01549,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403
97,537.47,1.09898,0.85917,1.09025,0.98161,0.99064,0.98933,0.71451,0.97593,0.53084,1.01767,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
98,542.977,1.11386,0.83117,1.08036,0.98211,0.98523,0.98816,0.71924,0.95933,0.52686,1.01264,0.00119921,0.000399738,0.00119921,0.000399738,0.00119921,0.000399738,0.00119921,0.000399738
99,548.453,1.11046,0.84551,1.10268,0.98368,0.98729,0.98983,0.71802,0.95302,0.52273,1.01046,0.00117722,0.000392405,0.00117722,0.000392405,0.00117722,0.000392405,0.00117722,0.000392405
100,554.032,1.11136,0.83256,1.07556,0.98529,0.9853,0.99115,0.71374,0.95735,0.52301,1.01148,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
101,559.491,1.09466,0.85034,1.08854,0.9804,0.99194,0.99044,0.72068,0.94955,0.51462,1.0111,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774
102,564.998,1.08345,0.83235,1.08258,0.97937,0.99293,0.99143,0.72387,0.95733,0.51277,1.01233,0.00111122,0.000370407,0.00111122,0.000370407,0.00111122,0.000370407,0.00111122,0.000370407
103,570.472,1.0973,0.86259,1.09021,0.9775,0.99276,0.9908,0.71458,0.96865,0.51495,1.01166,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
104,575.974,1.10444,0.84018,1.10039,0.98022,0.99083,0.99314,0.72076,0.95347,0.51465,1.01034,0.00106723,0.000355742,0.00106723,0.000355742,0.00106723,0.000355742,0.00106723,0.000355742
105,581.474,1.07773,0.82053,1.07068,0.98244,0.99083,0.99296,0.72198,0.95281,0.51743,1.00942,0.00104523,0.00034841,0.00104523,0.00034841,0.00104523,0.00034841,0.00104523,0.00034841
106,586.97,1.08219,0.83654,1.08334,0.98208,0.98985,0.993,0.72341,0.95177,0.51537,1.00976,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
107,592.446,1.10266,0.84799,1.08302,0.9756,0.99608,0.99313,0.72261,0.95119,0.52475,1.01105,0.00100123,0.000333744,0.00100123,0.000333744,0.00100123,0.000333744,0.00100123,0.000333744
108,597.916,1.08299,0.8318,1.07523,0.97555,0.99513,0.99356,0.7192,0.96046,0.51592,1.01154,0.000979235,0.000326412,0.000979235,0.000326412,0.000979235,0.000326412,0.000979235,0.000326412
109,603.402,1.07379,0.81076,1.07909,0.97574,0.9947,0.99299,0.72603,0.95989,0.51222,1.01042,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
110,608.903,1.09707,0.81247,1.0743,0.97627,0.99506,0.99333,0.72443,0.94639,0.50611,1.00808,0.00093524,0.000311747,0.00093524,0.000311747,0.00093524,0.000311747,0.00093524,0.000311747
111,614.396,1.08008,0.79532,1.06389,0.97904,0.99302,0.99361,0.72615,0.94471,0.50587,1.0094,0.000913242,0.000304414,0.000913242,0.000304414,0.000913242,0.000304414,0.000913242,0.000304414
112,619.846,1.07692,0.82499,1.07848,0.97972,0.99581,0.99371,0.7277,0.94299,0.50734,1.00856,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
113,625.35,1.07609,0.80451,1.07007,0.97883,0.99464,0.99374,0.72059,0.94255,0.50614,1.00692,0.000869246,0.000289749,0.000869246,0.000289749,0.000869246,0.000289749,0.000869246,0.000289749
114,630.839,1.08697,0.80971,1.07526,0.97865,0.99459,0.99374,0.72326,0.94572,0.5108,1.00726,0.000847249,0.000282416,0.000847249,0.000282416,0.000847249,0.000282416,0.000847249,0.000282416
115,636.411,1.05789,0.84568,1.07828,0.98032,0.99563,0.99347,0.72379,0.94039,0.50988,1.00687,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
116,641.886,1.08542,0.82724,1.07506,0.97697,0.99595,0.99339,0.72237,0.94638,0.49767,1.00851,0.000803253,0.000267751,0.000803253,0.000267751,0.000803253,0.000267751,0.000803253,0.000267751
117,647.359,1.10082,0.81183,1.08705,0.98102,0.99117,0.99315,0.7184,0.9581,0.49984,1.01086,0.000781255,0.000260418,0.000781255,0.000260418,0.000781255,0.000260418,0.000781255,0.000260418
118,652.835,1.0666,0.81154,1.07415,0.9798,0.99082,0.9917,0.7261,0.95763,0.49984,1.00869,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
119,658.305,1.08444,0.80438,1.06409,0.97802,0.99401,0.99057,0.72171,0.95001,0.49329,1.00725,0.00073726,0.000245753,0.00073726,0.000245753,0.00073726,0.000245753,0.00073726,0.000245753
120,663.802,1.0879,0.81905,1.07397,0.9778,0.99354,0.98918,0.72126,0.94982,0.49536,1.00698,0.000715262,0.000238421,0.000715262,0.000238421,0.000715262,0.000238421,0.000715262,0.000238421
121,669.275,1.06376,0.81683,1.07118,0.9788,0.99224,0.98985,0.71906,0.94738,0.49632,1.00578,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
